cf,FIPS,tc_dev,dev_tc,tc_pdev,pdev_tc,tc_net,tc_gain,tc_loss,tc_net verbiage ,WTTC_IMP,WTTC_PDEV,WTTC_loss
livi_36051,36051,29.6059,23.1151,60.2578,80.3763,13.6277,103.4914,89.8637,Net Gain,0.1267,1.8661,1.9928
steu_36101,36101,93.1564,47.6531,341.8682,172.6064,-214.7651,220.2595,435.0246,Net Loss,0.2987,1.6814,1.9801
tomp_36109,36109,55.5491,31.0884,80.061,111.4296,6.9079,142.518,135.6101,Net Gain,1.5469,0.2829,1.8298
perr_42099,42099,92.7911,6.9345,271.1748,80.4429,-276.5885,87.3774,363.9659,Net Loss,0.6456,1.1795,1.8251
gran_54023,54023,86.5549,13.1784,327.6327,35.7544,-365.2548,48.9328,414.1876,Net Loss,1.2265,0.5473,1.7738
midd_51119,51119,24.7245,4.9388,191.2062,10.6998,-200.2921,15.6386,215.9307,Net Loss,0.0914,1.599,1.6904
cumb_42041,42041,420.7804,23.4382,587.5112,178.806,-806.0474,202.2442,1008.2916,Net Loss,0.5975,1.0759,1.6734
schu_42107,42107,563.787,25.2823,649.4411,67.1909,-1120.7549,92.4732,1213.2281,Net Loss,1.1419,0.518,1.6599
lyco_42081,42081,386.4433,6.0819,580.248,40.433,-920.1764,46.5149,966.6913,Net Loss,0.167,1.4569,1.6239
dela_36025,36025,121.4387,39.8826,119.8611,80.2647,-121.1525,120.1473,241.2998,Net Loss,0.7226,0.8444,1.567
chem_36015,36015,31.5585,22.4111,85.6699,63.7141,-31.1032,86.1252,117.2284,Net Loss,0.0988,1.4189,1.5177
harf_24025,24025,315.0157,86.2427,540.8992,311.1869,-458.4853,397.4296,855.9149,Net Loss,0.9183,0.5386,1.4569
augu_51015,51015,218.1485,43.2269,501.3981,86.7971,-589.5226,130.024,719.5466,Net Loss,0.9887,0.4621,1.4508
jeff_42065,42065,477.8289,7.7102,464.8893,30.801,-904.207,38.5112,942.7182,Net Loss,1.3892,0.0405,1.4297
colo_51570,51570,6.9662,2.9762,3.1589,5.2108,-1.9381,8.187,10.1251,Net Loss,1.3938,0,1.3938
mont_51121,51121,88.1322,14.561,402.1565,26.738,-448.9897,41.299,490.2887,Net Loss,0.6195,0.7419,1.3614
onta_36069,36069,88.074,34.4368,129.1299,113.0794,-69.6877,147.5162,217.2039,Net Loss,1.1733,0.1853,1.3586
luze_42079,42079,556.88,28.943,1147.5749,92.4026,-1583.1093,121.3456,1704.4549,Net Loss,1.0372,0.318,1.3552
king_51099,51099,61.0816,10.4363,75.4617,17.329,-108.778,27.7653,136.5433,Net Loss,1.1722,0.147,1.3192
clea_42033,42033,915.3542,15.1515,434.5433,53.2469,-1281.4991,68.3984,1349.8975,Net Loss,0.6048,0.6963,1.3011
snyd_42109,42109,78.9078,2.9555,238.8694,24.2338,-290.5879,27.1893,317.7772,Net Loss,0.4265,0.7804,1.2069
ceci_24015,24015,503.665,55.0205,153.3582,204.6663,-397.3364,259.6868,657.0232,Net Loss,0.6874,0.5051,1.1925
fred_24021,24021,201.1141,64.2676,517.2464,201.2253,-452.8676,265.4929,718.3605,Net Loss,0.7835,0.4085,1.192
bedf_51019,51019,325.9869,59.3669,381.4356,157.8116,-490.244,217.1785,707.4225,Net Loss,1.0028,0.1634,1.1662
juni_42067,42067,37.9974,4.1248,313.1437,56.9502,-290.0661,61.075,351.1411,Net Loss,0.2347,0.9269,1.1616
